"","sample","species","PRCNT100","species_name","common","WDFW_code","site","Collection.Date","day","month","year"
"1","EJ_001","CLUPAL",34.7648817613482,"Clupea pallasii","Pacific_Herring","21MD0044","Tatoosh Cut",44177,12,12,2020
"2","EJ_001","PLASTE",0,"Platichthys stellatus","Starry_Flounder","21MD0044","Tatoosh Cut",44177,12,12,2020
"3","EJ_001","RAJRHI",0,"Raja rhina","Longnose_Skate","21MD0044","Tatoosh Cut",44177,12,12,2020
"4","EJ_001","MICPRO",0,"Microgadus proximus","Pacific_Tomcod","21MD0044","Tatoosh Cut",44177,12,12,2020
"5","EJ_001","ALLELO",0,"Allosmerus elongatus","Whitebait_smelt","21MD0044","Tatoosh Cut",44177,12,12,2020
"6","EJ_001","ONCTSH",0,"Oncorhynchus tshawytscha","Chinook_Salmon","21MD0044","Tatoosh Cut",44177,12,12,2020
"7","EJ_001","AULFLA",0,"Aulorhynchus flavidus","Tube_snout","21MD0044","Tatoosh Cut",44177,12,12,2020
"8","EJ_001","HEXDEC",0,"Hexagrammos decagrammus","Kelp_Greenling","21MD0044","Tatoosh Cut",44177,12,12,2020
"9","EJ_001","ISOISO",0,"Isopsetta isolepis","Butter_Sole","21MD0044","Tatoosh Cut",44177,12,12,2020
"10","EJ_001","SEBAST",0,"Sebastes sp.","Sebastes sp.","21MD0044","Tatoosh Cut",44177,12,12,2020
"11","EJ_001","LIPMUC",0,"Liparis mucosus","Slimy_Snailfish","21MD0044","Tatoosh Cut",44177,12,12,2020
"12","EJ_001","OLISNY",0,"Oligocottus snyderi","Fluffy_sculpin","21MD0044","Tatoosh Cut",44177,12,12,2020
"13","EJ_001","BRAFRE",0,"Brachyistius frenatus","Kelp_Surfperch","21MD0044","Tatoosh Cut",44177,12,12,2020
"14","EJ_001","ARTHAR",0,"Artedius harringtoni","Scalyhead_Sculpin","21MD0044","Tatoosh Cut",44177,12,12,2020
"15","EJ_001","OPHELO",35.2813264474042,"Ophiodon elongatus","Lingcod","21MD0044","Tatoosh Cut",44177,12,12,2020
"16","EJ_001","HIPELA",0,"Hippoglossoides elassodon","Flathead_Sole","21MD0044","Tatoosh Cut",44177,12,12,2020
"17","EJ_001","GADMAC",0,"Gadus macrocephalus","Pacific_Cod","21MD0044","Tatoosh Cut",44177,12,12,2020
"18","EJ_001","ANOFIM",0,"Anoplopoma fimbria","Sablefish","21MD0044","Tatoosh Cut",44177,12,12,2020
"19","EJ_001","SCOMAR",0,"Scorpaenichthys marmoratus","Cabezon","21MD0044","Tatoosh Cut",44177,12,12,2020
"20","EJ_001","THAPAC",0,"Thaleichthys pacificus","Eulachon","21MD0044","Tatoosh Cut",44177,12,12,2020
"21","EJ_001","ICEFIL",0,"Icelinus filamentosus","Threadfin_Sculpin","21MD0044","Tatoosh Cut",44177,12,12,2020
